customer_id,tenure_months,monthly_charge,support_tickets_90d,contract_type,autopay,premium_plan,churned
C100079,34,93.43,5,One year,0,1,1
C100080,42,107.53,3,Month-to-month,1,1,0
C100081,17,74.75,1,Month-to-month,1,0,0
C100082,32,85.41,2,Month-to-month,0,1,0
C100083,55,113.22,3,Month-to-month,1,0,1
C100084,12,122.11,1,Two year,1,1,0
C100085,16,37.01,2,Month-to-month,0,0,1
C100086,19,108.05,0,Two year,0,0,1
C100087,70,48.11,3,Month-to-month,1,1,0
C100088,8,95.21,3,Two year,0,1,0
C100089,69,35.82,2,Month-to-month,1,1,0
C100090,49,38.56,5,One year,1,0,0
C100091,39,137.96,3,Month-to-month,1,1,0
C100092,36,101.17,3,Two year,0,1,0
C100093,26,21.29,2,Month-to-month,1,0,0
C100094,47,50.16,0,One year,1,0,0
C100095,44,54.72,3,One year,0,0,0
C100096,39,66.87,3,One year,1,0,0
C100097,33,54.6,1,Month-to-month,1,1,1
C100098,72,40.57,0,One year,1,0,0
C100099,60,61.67,3,Month-to-month,1,1,0
C100100,54,72.74,1,Month-to-month,1,1,0
C100101,64,52.84,1,Month-to-month,0,0,0
C100102,66,101.45,1,One year,1,0,0
C100103,58,48.82,2,Month-to-month,1,0,0
C100104,4,91.05,3,Month-to-month,0,1,0
C100105,16,87.13,1,Month-to-month,0,1,1
C100106,62,64.23,2,One year,1,1,0
C100107,42,61.52,1,One year,1,1,0
C100108,26,103.18,1,One year,0,0,0
C100109,69,56.25,1,Two year,1,1,0
C100110,57,105.06,1,Month-to-month,1,1,0
C100111,21,77.9,2,Month-to-month,0,1,0
C100112,58,110.32,1,Month-to-month,1,1,0
C100113,72,37.36,1,Month-to-month,1,0,0
C100114,31,73.7,1,One year,1,1,0
C100115,70,59.25,1,One year,0,1,0
C100116,61,119.86,3,Month-to-month,1,0,1
C100117,61,82.61,0,Month-to-month,1,1,0
C100118,4,63.89,1,One year,1,1,0
C100119,13,48.48,2,Month-to-month,1,0,0
C100120,34,53.82,2,One year,0,1,0
C100121,20,88.89,1,Month-to-month,1,1,0
C100122,41,95.08,2,Two year,0,0,0
C100123,15,120.62,1,Month-to-month,0,1,0
C100124,50,78.71,0,Two year,1,0,0
C100125,60,25.67,2,Month-to-month,1,1,0
C100126,54,88.39,3,Month-to-month,0,0,0
C100127,38,90.91,0,Month-to-month,0,1,0
C100128,3,66.58,3,One year,0,0,0
C100129,15,93.76,4,Month-to-month,0,0,1
C100130,21,82.26,3,Month-to-month,1,0,0
C100131,40,92.9,1,Month-to-month,1,0,1
C100132,17,41.65,0,Month-to-month,1,0,0
C100133,36,89.29,3,One year,1,0,1
C100134,14,40.99,0,Month-to-month,0,0,0
C100135,25,51.21,2,Month-to-month,0,1,0
C100136,46,80.46,4,Two year,0,0,0
C100137,28,62.91,5,Month-to-month,0,1,1
C100138,52,63.06,1,One year,1,1,0
C100139,63,79.73,1,Month-to-month,0,1,0
C100140,11,77.38,3,Month-to-month,1,0,0
C100141,64,39.44,4,One year,1,0,1
C100142,21,71.39,1,Month-to-month,1,1,1
C100143,43,100.77,3,Two year,1,0,0
C100144,27,84.53,3,Month-to-month,1,1,0
C100145,48,131.28,0,Month-to-month,1,0,0
C100146,54,90.97,2,Month-to-month,0,1,0
C100147,72,118.59,2,Two year,1,0,0
C100148,19,43.68,2,Month-to-month,1,0,0
C100149,53,75.43,1,Month-to-month,0,1,0
C100150,37,48.69,3,Month-to-month,1,1,1
C100151,67,57.26,0,One year,0,0,0
C100152,16,122.84,3,Month-to-month,1,1,1
C100153,53,31.67,4,One year,0,1,0
C100154,59,102.6,1,One year,1,0,0
C100155,37,90.52,1,Month-to-month,1,0,1
C100156,32,95.22,1,One year,1,1,1
C100157,27,69.71,1,One year,0,0,0
C100158,43,114.46,1,One year,1,0,0
C100159,47,82.64,2,Month-to-month,1,1,0
C100160,28,93.14,1,Month-to-month,1,0,1
C100161,60,25.48,2,Month-to-month,1,0,0
C100162,29,47.95,1,Month-to-month,1,1,0
C100163,63,66.85,4,One year,1,0,0
C100164,61,92.42,3,Month-to-month,1,1,0
C100165,21,44.27,3,Two year,1,1,0
C100166,3,31.97,1,Month-to-month,0,0,0
C100167,28,78.95,0,Month-to-month,0,1,0
C100168,24,51.19,1,One year,0,0,1
C100169,29,83.12,2,Month-to-month,0,0,0
C100170,60,67.41,0,Month-to-month,0,0,1
C100171,58,91.56,0,Month-to-month,0,0,0
C100172,48,37.89,2,Month-to-month,1,0,0
C100173,62,61.08,3,Month-to-month,0,0,1
C100174,29,67.44,2,Two year,1,1,0
C100175,60,100.44,2,One year,1,1,0
C100176,20,62.82,5,Month-to-month,0,0,0
C100177,14,76.53,1,Two year,0,1,1
C100178,60,48.7,4,Month-to-month,0,1,0
C100179,12,90.01,1,Month-to-month,0,0,0
C100180,66,93.36,0,Month-to-month,1,0,0
C100181,41,73.18,1,Month-to-month,1,1,0
C100182,57,60.08,2,Month-to-month,1,0,0
C100183,19,60.87,0,One year,1,1,0
C100184,29,68.53,3,Month-to-month,1,1,0
C100185,6,90.37,1,Month-to-month,1,1,0
C100186,60,67.64,1,One year,1,0,0
C100187,67,106.88,0,One year,1,0,0
C100188,6,72.66,3,Month-to-month,0,0,1
C100189,7,47.34,2,Month-to-month,1,1,0
C100190,25,121.91,0,Month-to-month,1,0,0
C100191,31,58.84,1,Month-to-month,0,0,0
C100192,34,53.13,0,Month-to-month,0,0,0
C100193,61,66.46,0,Two year,0,0,0
C100194,2,107.21,2,Month-to-month,1,1,0
C100195,70,100.59,2,Two year,1,0,0
C100196,56,90.95,2,Month-to-month,1,0,1
C100197,14,87.63,1,One year,1,1,0
C100198,64,85.45,2,Month-to-month,1,0,0
C100199,21,84.54,1,Month-to-month,1,0,1
C100200,22,88.16,2,One year,0,1,1
C100201,40,67.04,2,One year,1,1,1
C100202,25,55.11,1,Month-to-month,1,0,0
C100203,12,96.24,1,Month-to-month,0,1,1
C100204,55,49.89,1,Month-to-month,1,0,1
C100205,65,76.77,2,Month-to-month,1,0,0
C100206,47,59.17,1,Month-to-month,0,0,0
C100207,42,55.68,0,Month-to-month,1,0,0
C100208,13,92.92,2,Two year,1,1,0
C100209,20,83.75,3,One year,1,1,0
C100210,49,108.17,1,Month-to-month,1,0,0
C100211,2,66.87,2,Month-to-month,0,0,0
C100212,27,89.87,1,Month-to-month,1,0,0
C100213,51,56.51,2,Month-to-month,1,1,0
C100214,72,84.18,2,Two year,1,0,0
C100215,34,46.74,1,One year,1,1,0
C100216,14,56.38,0,Month-to-month,1,1,0
C100217,28,87.23,3,One year,1,0,0
C100218,64,33.63,0,Month-to-month,0,1,0
C100219,51,107.21,2,Month-to-month,1,1,0
C100220,61,80.55,2,Month-to-month,0,1,0
C100221,23,64.82,1,Month-to-month,0,1,0
C100222,41,84.35,1,Two year,1,0,0
C100223,13,93.57,1,One year,0,1,1
C100224,62,127.29,1,One year,1,1,1
C100225,68,39.34,0,Month-to-month,1,1,0
C100226,15,60.82,0,One year,1,1,0
C100227,33,107.98,3,Month-to-month,0,0,1
C100228,28,71.92,1,Month-to-month,0,1,0
C100229,5,87.32,1,One year,1,0,0
C100230,28,26.09,1,One year,1,1,0
C100231,40,88.67,3,Month-to-month,0,0,0
C100232,44,75.57,2,One year,1,0,1
C100233,37,78.75,0,Month-to-month,1,1,0
C100234,30,82.12,2,Month-to-month,1,0,0
C100235,70,48.67,3,Two year,0,0,0
C100236,2,55.68,1,Month-to-month,1,0,0
C100237,37,111.76,5,Month-to-month,1,1,0
C100238,66,69.35,2,Month-to-month,1,0,0
C100239,54,128.18,0,Month-to-month,1,0,0
C100240,5,106.46,1,One year,1,1,0
C100241,46,79.98,1,Month-to-month,1,0,0
C100242,15,77.73,4,One year,1,1,0
C100243,24,73.75,0,Month-to-month,0,1,0
C100244,8,68.62,3,Two year,1,1,0
C100245,22,70.16,1,Two year,1,1,0
C100246,64,137.22,1,One year,1,0,0
C100247,30,74.77,5,Month-to-month,1,1,0
C100248,24,107.01,2,Month-to-month,1,0,0
C100249,68,67.13,2,One year,0,1,0
C100250,19,35.42,0,One year,1,0,0
C100251,8,59.07,0,Month-to-month,1,0,0
C100252,13,74.91,1,One year,1,1,1
C100253,62,72.84,2,Month-to-month,1,0,0
C100254,59,84.88,3,One year,1,1,0
C100255,59,69.72,1,One year,0,1,1
C100256,18,31.21,0,Month-to-month,1,0,0
C100257,51,93.48,1,Month-to-month,0,0,0
C100258,54,72.05,1,One year,0,1,0
C100259,51,69.32,3,Month-to-month,1,0,1
C100260,38,82.31,1,Month-to-month,1,0,0
C100261,16,97.91,2,Month-to-month,0,0,1
C100262,27,94.24,0,Month-to-month,1,1,0
C100263,69,79.96,2,One year,1,0,0
C100264,40,104.78,2,One year,1,0,0
C100265,32,93.65,2,One year,1,0,1
C100266,5,54.5,1,Month-to-month,0,1,0
C100267,25,63.28,0,Month-to-month,0,0,1
C100268,35,71.16,0,Month-to-month,0,0,0
C100269,55,124.66,0,Two year,1,1,0
C100270,59,80.49,1,Two year,1,0,0
C100271,58,48.39,1,Month-to-month,1,0,0
C100272,22,101.75,1,Month-to-month,0,1,0
C100273,17,62.11,1,Month-to-month,1,1,0
C100274,10,136.9,1,Month-to-month,1,1,0
C100275,66,86.8,2,Month-to-month,1,0,0
C100276,48,26.45,0,Month-to-month,1,0,0
C100277,25,71.66,1,Two year,1,1,0
C100278,27,72.48,2,Month-to-month,1,0,0
C100279,34,69.76,0,Month-to-month,1,0,1
C100280,45,99.83,0,Two year,1,0,0
C100281,14,90.74,0,One year,0,0,0
C100282,19,107.98,1,Month-to-month,0,1,0
C100283,32,91.59,4,One year,1,0,0
C100284,15,88.46,1,One year,0,1,0
C100285,53,45.71,2,One year,0,0,0
C100286,41,84.29,1,Two year,1,1,0
C100287,4,92.88,3,One year,1,1,0
C100288,18,88.67,0,Month-to-month,0,1,1
C100289,16,90.26,0,Two year,1,1,0
C100290,37,36.85,1,Two year,0,0,0
C100291,53,84.93,1,One year,0,0,1
C100292,2,65.95,1,Two year,1,0,0
C100293,25,92.37,1,Two year,1,1,0
C100294,40,104.84,1,One year,0,0,0
C100295,15,98.46,2,Month-to-month,1,0,1
C100296,28,71.56,0,One year,0,0,0
C100297,5,56.28,2,One year,0,0,0
C100298,10,77.84,0,Month-to-month,1,0,1
C100299,39,74.36,1,Month-to-month,0,0,0
C100300,27,100.56,0,One year,0,0,0
C100301,7,102.21,3,One year,1,0,0
C100302,30,95.87,3,One year,0,0,0
C100303,17,67.29,2,Month-to-month,0,1,1
C100304,47,101.22,1,One year,1,0,0
C100305,36,88.49,1,Month-to-month,1,1,0
C100306,43,37.95,1,Month-to-month,1,1,0
C100307,2,50.19,1,Two year,1,0,0
C100308,30,47.41,4,Month-to-month,0,1,0
C100309,27,61.89,0,Month-to-month,1,1,0
C100310,7,98.16,0,One year,1,1,0
C100311,2,111.02,5,One year,0,0,0
C100312,67,70.85,3,Month-to-month,0,0,0
C100313,31,75.64,2,Two year,1,0,1
C100314,26,63.31,3,Month-to-month,1,0,0
C100315,9,83.11,4,Month-to-month,1,0,1
C100316,26,61.51,3,Month-to-month,0,1,1
C100317,45,85.22,3,Month-to-month,0,1,1
C100318,52,109.35,2,Month-to-month,1,0,0
C100319,42,72.61,3,One year,0,0,0
C100320,66,67.28,2,Month-to-month,1,1,0
C100321,30,76.3,3,Month-to-month,1,0,0
C100322,27,68.1,2,Month-to-month,1,1,1
C100323,42,85.5,1,Two year,0,1,0
C100324,69,101.28,1,One year,0,0,0
C100325,23,48.79,2,One year,0,1,0
C100326,71,43.54,3,Month-to-month,1,1,1
C100327,11,60.03,1,Month-to-month,1,0,0
C100328,57,89.24,3,One year,1,1,0
C100329,46,92.55,2,One year,1,1,0
C100330,58,122.34,1,Two year,1,1,0
C100331,40,94.65,0,Two year,0,1,0
C100332,21,74.34,1,One year,1,1,0
C100333,59,48.94,1,Two year,0,1,0
C100334,27,78.65,2,Two year,0,0,1
C100335,11,82.59,1,One year,1,0,0
C100336,49,74.29,4,Month-to-month,1,0,0
C100337,4,71.32,0,One year,1,1,0
C100338,57,87.12,2,One year,1,1,0
C100339,45,82.07,0,Two year,0,0,1
C100340,42,118.21,4,Month-to-month,1,0,0
C100341,23,64.16,4,Two year,1,0,1
C100342,4,89.02,2,Month-to-month,1,0,0
C100343,45,69.28,1,One year,1,0,0
C100344,49,69.04,2,Two year,1,1,0
C100345,1,79.55,3,Two year,0,1,0
C100346,36,112.7,0,Month-to-month,0,0,1
C100347,46,101.13,2,Month-to-month,0,1,1
C100348,62,48.55,3,One year,0,0,0
C100349,10,84.42,4,Month-to-month,0,1,0
C100350,9,33.29,3,Two year,0,0,0
C100351,34,68.43,5,One year,1,1,1
C100352,38,104.97,0,Month-to-month,1,1,0
C100353,16,65.22,3,Month-to-month,0,1,1
C100354,1,63.72,0,Month-to-month,1,1,1
C100355,32,127.0,1,One year,1,0,0
C100356,47,89.66,1,Month-to-month,0,0,0
C100357,53,106.0,4,Month-to-month,1,0,1
C100358,22,110.61,2,One year,0,0,0
C100359,44,76.29,1,Two year,1,0,0
C100360,69,102.91,2,Month-to-month,0,1,0
C100361,22,76.57,2,Month-to-month,1,0,0
C100362,29,74.9,2,One year,0,1,0
C100363,51,88.66,2,One year,0,1,0
C100364,34,102.96,0,One year,0,0,0
C100365,49,74.51,2,Two year,1,0,0
C100366,5,95.95,3,One year,1,0,1
C100367,58,54.83,1,One year,0,0,0
C100368,11,88.59,2,Two year,0,1,0
C100369,32,30.75,0,Two year,1,1,0
C100370,56,83.28,2,Two year,1,1,0
C100371,46,40.58,4,Two year,1,1,0
C100372,37,104.51,1,One year,0,0,0
C100373,71,73.74,5,One year,1,1,0
C100374,1,74.58,3,Month-to-month,0,0,0
C100375,22,83.76,4,Month-to-month,1,0,0
C100376,36,67.51,2,Month-to-month,0,1,1
C100377,22,67.08,2,One year,1,1,1
C100378,19,74.04,5,Two year,0,0,1
C100379,53,51.67,1,Month-to-month,1,1,0
C100380,54,33.48,4,Month-to-month,1,0,0
C100381,69,64.56,0,Month-to-month,0,1,0
C100382,65,63.97,1,Two year,1,0,0
C100383,27,30.69,1,Month-to-month,1,1,0
C100384,38,87.54,4,Month-to-month,0,1,0
C100385,64,70.88,2,Month-to-month,1,1,0
C100386,46,95.86,1,Month-to-month,1,0,0
C100387,21,77.99,1,Two year,1,0,0
C100388,71,69.94,4,One year,1,1,1
C100389,26,78.89,3,Month-to-month,0,1,1
C100390,55,36.3,1,Month-to-month,1,1,0
C100391,71,66.13,1,Month-to-month,1,0,1
C100392,11,98.28,3,Two year,1,1,0
C100393,23,134.74,2,One year,1,0,1
C100394,67,57.57,1,Two year,1,0,0
C100395,51,93.4,0,Two year,1,0,0
C100396,36,67.77,2,Month-to-month,0,1,0
C100397,34,93.5,1,Month-to-month,1,1,1
C100398,18,84.38,2,One year,1,1,0
C100399,17,41.5,2,Two year,1,1,0
C100400,22,79.43,1,Two year,1,0,1
C100401,2,83.07,6,Month-to-month,1,1,0
C100402,72,75.62,2,Month-to-month,0,0,0
C100403,48,36.77,1,Month-to-month,0,0,0
C100404,35,77.26,0,Month-to-month,0,1,1
C100405,70,71.95,1,Month-to-month,0,1,0
C100406,23,76.79,0,Month-to-month,1,0,0
C100407,2,93.74,0,Month-to-month,1,1,0
C100408,2,61.37,1,Month-to-month,1,1,0
C100409,54,82.14,3,One year,1,0,0
C100410,33,80.73,4,One year,1,0,0
C100411,14,48.49,3,One year,1,0,0
C100412,21,30.66,2,Month-to-month,1,0,0
C100413,62,75.31,3,One year,1,0,1
C100414,12,72.2,1,Month-to-month,0,1,1
C100415,34,63.14,2,Month-to-month,1,0,1
C100416,14,85.44,2,One year,1,0,1
C100417,25,86.41,1,One year,1,0,0
C100418,23,62.06,3,Two year,1,1,0
C100419,10,110.2,2,Month-to-month,0,1,1
C100420,1,60.13,3,Month-to-month,0,1,0
C100421,25,124.41,1,Month-to-month,0,0,0
C100422,21,96.76,4,Month-to-month,1,0,1
C100423,64,78.72,2,Month-to-month,0,0,0
C100424,62,40.43,2,Month-to-month,0,1,0
C100425,29,45.28,2,Month-to-month,1,1,0
C100426,20,84.28,0,Month-to-month,1,0,0
C100427,12,71.83,1,One year,0,0,0
C100428,43,58.95,2,Month-to-month,1,0,0
C100429,69,91.12,4,Month-to-month,1,0,1
C100430,63,77.1,1,Month-to-month,0,1,0
C100431,15,50.42,1,Month-to-month,0,0,1
C100432,69,68.04,3,One year,0,0,0
C100433,48,71.89,0,Two year,0,0,0
C100434,46,93.11,4,Two year,0,0,0
C100435,29,77.75,1,Month-to-month,0,0,1
C100436,51,78.76,2,Month-to-month,1,0,0
C100437,13,106.68,2,One year,0,1,1
C100438,36,34.68,0,Month-to-month,1,1,0
C100439,20,123.4,4,Month-to-month,1,1,0
C100440,60,39.28,2,Month-to-month,1,1,1
C100441,42,41.72,2,Month-to-month,1,1,0
C100442,48,70.52,3,One year,1,0,0
C100443,62,59.5,0,Month-to-month,1,0,0
C100444,2,126.32,1,Two year,1,1,1
C100445,46,53.11,1,Month-to-month,1,1,0
C100446,21,58.47,0,One year,0,0,0
C100447,28,75.37,1,One year,0,0,0
C100448,8,118.67,2,Month-to-month,1,1,1
C100449,58,106.89,1,Month-to-month,0,0,0
C100450,57,83.33,1,One year,1,0,0
C100451,4,45.38,1,Two year,1,0,0
C100452,10,32.1,2,Month-to-month,0,0,1
C100453,29,52.44,1,Month-to-month,0,0,1
C100454,14,26.47,1,Month-to-month,1,1,0
C100455,57,45.6,0,Month-to-month,1,0,0
C100456,55,27.73,0,One year,0,1,0
C100457,70,87.29,2,One year,1,1,0
C100458,61,44.97,2,Two year,1,0,0
C100459,70,103.41,3,One year,0,1,0
C100460,72,81.23,0,One year,1,1,0
C100461,23,76.71,1,Month-to-month,1,0,0
C100462,2,95.05,1,One year,1,0,0
C100463,46,66.76,0,One year,0,0,0
C100464,19,79.89,2,One year,1,0,0
C100465,43,53.88,1,Two year,0,0,1
C100466,72,103.69,0,Month-to-month,0,0,0
C100467,9,112.59,3,Two year,0,1,1
C100468,2,65.86,1,One year,0,0,0
C100469,14,111.26,3,Month-to-month,0,1,1
C100470,35,76.38,3,One year,0,1,0
C100471,72,96.18,2,Two year,0,1,0
C100472,39,75.85,2,Month-to-month,1,0,0
C100473,29,71.99,1,One year,0,1,0
C100474,16,64.91,0,One year,1,1,0
C100475,35,92.24,1,One year,1,0,0
C100476,59,46.19,1,Month-to-month,0,1,0
C100477,64,83.37,2,One year,0,1,0
C100478,40,104.06,0,Two year,0,1,0
C100479,52,50.93,0,Month-to-month,0,0,0
C100480,36,98.1,4,One year,1,0,0
C100481,62,107.4,2,Month-to-month,1,0,0
C100482,68,55.76,2,Month-to-month,1,1,0
C100483,20,70.48,8,Month-to-month,0,0,1
C100484,44,58.61,1,One year,0,0,1
C100485,19,81.35,2,Two year,1,1,0
C100486,64,48.88,2,Month-to-month,0,0,0
C100487,59,99.99,2,One year,0,1,0
C100488,54,60.9,1,Month-to-month,1,1,0
C100489,67,49.38,0,Month-to-month,1,1,0
C100490,14,89.4,2,Month-to-month,0,1,1
C100491,49,50.66,2,Month-to-month,1,0,0
C100492,53,76.5,2,Month-to-month,1,1,1
C100493,23,106.41,1,Two year,0,1,0
C100494,3,100.11,3,Month-to-month,0,0,0
C100495,29,104.34,1,Month-to-month,1,1,1
C100496,51,70.45,4,One year,1,0,1
C100497,36,76.16,4,Month-to-month,1,0,0
C100498,65,89.79,1,Two year,0,1,0
C100499,47,69.96,2,One year,1,0,0
C100500,61,92.53,0,One year,1,0,1
C100501,22,42.83,1,Month-to-month,1,0,0
C100502,56,76.05,1,One year,0,1,0
C100503,22,108.17,1,One year,1,0,0
C100504,7,68.85,2,Month-to-month,1,1,1
C100505,71,78.45,4,One year,1,0,0
C100506,46,135.28,3,One year,1,0,0
C100507,55,61.55,1,One year,1,1,0
C100508,47,74.99,0,Month-to-month,1,1,0
C100509,32,29.82,5,One year,1,0,0
C100510,16,88.18,4,One year,1,1,1
C100511,31,94.74,1,One year,0,1,0
C100512,13,93.14,0,Month-to-month,1,1,0
C100513,4,122.15,1,One year,1,0,0
C100514,68,92.31,3,Month-to-month,1,0,0
C100515,72,76.2,3,One year,1,1,0
C100516,44,97.29,0,One year,1,1,1
C100517,35,65.62,1,Two year,0,1,0
C100518,6,93.85,2,Month-to-month,1,0,1
C100519,35,152.36,2,Month-to-month,1,1,0
C100520,47,131.01,1,One year,0,0,0
C100521,14,120.1,1,Month-to-month,1,0,1
C100522,17,88.08,2,One year,1,0,0
C100523,45,55.44,1,Month-to-month,0,0,0
C100524,59,68.68,1,Month-to-month,1,1,0
C100525,72,137.53,1,Month-to-month,1,1,0
C100526,45,72.76,1,Month-to-month,0,1,0
C100527,48,109.66,1,Month-to-month,1,0,0
C100528,47,55.41,1,Two year,0,0,0
C100529,70,89.26,4,Month-to-month,1,0,0
C100530,15,94.4,1,Month-to-month,1,0,0
C100531,59,61.5,1,Month-to-month,1,0,0
C100532,29,45.73,1,Month-to-month,0,0,0
C100533,71,61.01,0,Month-to-month,1,1,0
C100534,21,102.22,4,Month-to-month,1,0,0
C100535,9,115.07,0,One year,1,1,1
C100536,42,61.69,1,Month-to-month,1,0,0
C100537,32,58.4,2,One year,0,1,0
C100538,8,52.05,1,Two year,0,1,0
C100539,61,109.21,1,Month-to-month,0,1,1
C100540,1,63.42,2,One year,1,0,0
C100541,16,39.09,1,Month-to-month,1,0,0
C100542,44,71.63,3,Month-to-month,1,0,0
C100543,44,59.13,4,Month-to-month,0,0,0
C100544,2,113.93,1,Two year,0,1,0
C100545,14,99.08,0,Two year,1,0,0
C100546,68,84.9,0,Month-to-month,0,1,0
C100547,36,115.18,5,Month-to-month,0,1,0
C100548,40,83.36,2,Month-to-month,1,0,0
C100549,37,70.27,2,Month-to-month,0,0,0
C100550,57,56.52,0,One year,0,0,0
C100551,19,68.84,3,Month-to-month,0,0,1
C100552,28,39.17,2,One year,1,1,0
C100553,48,112.82,3,Month-to-month,0,1,0
C100554,31,61.06,2,Month-to-month,0,1,1
C100555,4,38.27,3,Month-to-month,1,0,1
C100556,42,105.15,2,Month-to-month,0,1,1
C100557,50,75.1,2,One year,1,1,0
C100558,35,29.3,4,Month-to-month,0,1,1
C100559,38,41.41,3,Two year,0,1,0
C100560,39,45.74,1,Month-to-month,0,0,1
C100561,11,36.35,3,Month-to-month,0,0,0
C100562,2,68.01,2,Month-to-month,1,0,0
C100563,16,99.93,2,One year,0,0,0
C100564,13,82.22,2,Month-to-month,1,1,1
C100565,9,30.0,2,Month-to-month,1,1,0
C100566,61,61.16,4,One year,0,0,0
C100567,63,88.17,1,Month-to-month,0,1,0
C100568,46,72.35,3,One year,0,1,0
C100569,60,88.86,1,Month-to-month,1,0,0
C100570,32,80.92,0,One year,1,0,0
C100571,48,49.64,3,Month-to-month,0,1,1
C100572,63,45.23,2,Month-to-month,1,0,0
C100573,48,73.32,3,Month-to-month,1,1,0
C100574,18,60.15,0,Month-to-month,1,1,0
C100575,64,82.66,3,One year,0,0,0
C100576,6,105.47,2,Month-to-month,1,1,1
C100577,41,105.93,3,One year,0,0,0
C100578,62,44.69,3,Month-to-month,0,0,0
C100579,2,64.72,1,One year,0,1,0
C100580,26,49.47,3,Two year,0,0,0
C100581,61,94.07,1,Two year,0,0,0
C100582,3,86.61,3,Month-to-month,0,0,1
C100583,12,113.15,2,Two year,1,1,0
C100584,21,63.91,1,One year,0,1,1
C100585,11,67.44,4,Month-to-month,1,1,0
C100586,53,66.68,1,Month-to-month,0,0,0
C100587,63,90.34,0,Month-to-month,1,0,0
C100588,36,88.3,1,Two year,0,0,0
C100589,69,47.48,1,Month-to-month,1,1,0
C100590,19,31.68,0,One year,0,0,0
C100591,7,72.14,1,One year,1,0,0
C100592,40,47.28,3,Two year,0,0,0
C100593,17,67.41,1,Month-to-month,1,0,0
C100594,9,87.83,1,Month-to-month,0,1,0
C100595,56,45.57,1,Two year,1,0,0
